*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
           50           10  3.48562e+11    0.0719521  0.000499011    0.0101889
          200           10  8.99707e+10     0.379155    0.0494334     0.401619
          300           10  6.11911e+10      1352.41     0.126574     0.667515
          400           10  4.77844e+10      7647.16      0.12435     0.708125
          500           10  3.99555e+10      1365.29     0.122303      0.72135
          600           10  3.47524e+10      28624.5     0.123842     0.791039
          700           10   3.1012e+10      29964.3      3722.67     0.836306
          900           10  2.59443e+10      31659.5     0.142291      0.86817
         1100           10  2.26219e+10        32541     0.144949     0.903675
         1300           10   2.0237e+10      33302.3      32978.9            1
         1500           10  1.84184e+10      33510.5      33163.7            1
         1700           10  1.69722e+10      33570.8      33213.3            1
         1900           10  1.57867e+10      33582.6      33209.3            1
         2100           10  1.47926e+10      33553.7        33187            1
         2300           10  1.39442e+10      33525.6      33159.3            1
         2500           10  1.32097e+10      33132.7      15728.1     0.985915
         2700           10  1.25662e+10      33486.6      33123.2            1
         3000           10   1.1736e+10      33139.6      7938.09      0.99154
