*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
         1000           10  2.41308e+10    0.0276854  8.81947e-05   0.00338129
         1500           10  1.84184e+10    0.0211515   0.00013821   0.00730066
         2000           10   1.5269e+10    0.0257944  0.000669202    0.0401881
         2500           10  1.32097e+10    0.0391168   0.00219812     0.122607
         3000           10   1.1736e+10    0.0591207   0.00512101     0.240492
         3500           10  1.06191e+10    0.0799066   0.00919892     0.360897
         4000           10   9.7379e+09     0.111594    0.0155215     0.472868
         4500           10  9.02154e+09     0.134062    0.0217249      0.56217
         5000           10   8.4255e+09     0.161067    0.0287198     0.637791
