*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
         1000           10  2.41308e+10    0.0349912  0.000158445    0.0046072
         1500           10  1.84184e+10    0.0247955  7.75328e-05   0.00325273
         2000           10   1.5269e+10     0.021178   0.00012572   0.00663684
         2500           10  1.32097e+10    0.0221672  0.000348951    0.0212301
         3000           10   1.1736e+10    0.0275255  0.000968013    0.0602599
         3500           10  1.06191e+10    0.0378633   0.00220925      0.12736
         4000           10   9.7379e+09    0.0505989   0.00412086     0.211708
         4500           10  9.02154e+09    0.0663092   0.00673519     0.301419
         5000           10   8.4255e+09    0.0854211    0.0103965     0.392615
